anime_id,watching,completed,on_hold,dropped,plan_to_watch,total,load_date,avg_score,favorites,anime_key
925,176,2127,156,200,926,3585,2022-03-11,6.43,3,8824
934,43647,410525,36832,34065,198036,723105,2022-03-11,7.91,19440,8832
942,920,7315,762,909,7346,17252,2022-03-11,6.73,46,8839
4651,260,964,223,234,1624,3305,2022-03-11,7.19,19,11287
953,2102,38702,1709,1980,22888,67381,2022-03-11,7.23,348,8846
962,3782,32086,2927,1650,30793,71238,2022-03-11,8.18,754,8853
970,257,2457,285,295,2187,5481,2022-03-11,7.34,36,8861
971,856,12168,1177,1785,4319,20305,2022-03-11,6.99,96,8862
973,527,3848,539,834,5419,11167,2022-03-11,6.55,19,8863
974,1498,46728,670,578,33163,82637,2022-03-11,7.22,523,8864
975,1120,15062,501,283,15580,32546,2022-03-11,7.36,279,8865
976,483,9824,240,142,6295,16984,2022-03-11,7.13,45,8866
978,636,6325,410,345,5400,13116,2022-03-11,7.71,307,8867
979,158,12443,93,87,1927,14708,2022-03-11,6.53,21,8868
984,509,38194,305,299,5421,44728,2022-03-11,6.75,13,8873
992,511,10597,463,538,4314,16423,2022-03-11,7.08,58,8882
1000,2142,10799,2051,1231,16043,32266,2022-03-11,7.69,282,8890
1007,661,22546,489,331,5265,29292,2022-03-11,7.74,63,8897
1015,723,55795,495,262,10811,68086,2022-03-11,7.67,93,8905
1019,914,9827,803,1255,8742,21541,2022-03-11,6.52,71,8909
1020,255,5549,182,231,3715,9932,2022-03-11,6.83,24,8910
1022,301,4194,313,367,3638,8813,2022-03-11,6.89,27,8912
1023,1008,43026,727,481,14924,60166,2022-03-11,8.01,331,8913
1024,102,3592,71,83,1448,5296,2022-03-11,6.85,25,8914
1025,1258,8582,1053,1069,16045,28007,2022-03-11,6.98,103,8915
1026,129,1777,72,89,1882,3949,2022-03-11,6.05,4,8916
1031,56,1523,32,69,857,2537,2022-03-11,4.98,3,8921
1032,133,3953,83,71,2725,6965,2022-03-11,6.79,12,8922
1033,3098,85147,1404,580,62190,152419,2022-03-11,8.25,2108,8923
1040,296,1122,247,285,2062,4012,2022-03-11,7.0,13,8929
1047,441,21557,172,105,8014,30289,2022-03-11,7.46,80,8936
1056,133,4549,68,84,1477,6311,2022-03-11,6.08,4,8944
1066,496,25577,545,430,6623,33671,2022-03-11,7.08,22,8952
1072,1219,18516,1426,852,13672,35685,2022-03-11,7.35,181,8958
1082,756,5495,660,1022,5634,13567,2022-03-11,6.77,23,8966
1089,947,25448,431,292,14178,41296,2022-03-11,7.96,647,8973
1097,599,4004,357,619,4234,9813,2022-03-11,5.92,11,8981
1098,431,5043,451,766,2797,9488,2022-03-11,5.94,10,8982
1099,56,1116,31,78,780,2061,2022-03-11,5.9,4,8983
1100,176,1462,119,131,2600,4488,2022-03-11,6.03,3,8984
1101,249,11138,168,118,2901,14574,2022-03-11,7.13,13,8985
1102,103,2086,69,132,1265,3655,2022-03-11,4.49,3,8986
1108,631,8466,644,845,5390,15976,2022-03-11,7.1,69,8992
1109,161,6109,132,195,3328,9925,2022-03-11,6.63,12,8993
1111,157,4534,107,125,2194,7117,2022-03-11,6.89,3,8995
1112,155,4637,106,123,2122,7143,2022-03-11,6.78,5,8996
1115,93,2083,46,59,1328,3609,2022-03-11,5.68,3,8997
1121,361,81871,246,248,4039,86765,2022-03-11,6.74,21,9003
1128,317,5792,239,207,2388,8943,2022-03-11,6.94,13,9009
1136,661,4704,770,839,6394,13368,2022-03-11,6.59,70,9015
1144,270,10954,192,113,3464,14993,2022-03-11,7.21,20,9023
1152,356,5674,257,175,3215,9677,2022-03-11,6.91,34,9031
1160,138,1883,68,90,1430,3609,2022-03-11,5.42,1,9039
1168,357,4747,352,210,2807,8473,2022-03-11,7.22,10,9047
1183,202,2117,116,155,1677,4267,2022-03-11,5.58,4,9061
1185,179,2828,161,232,1972,5372,2022-03-11,6.47,6,9063
1186,348,3952,340,507,3283,8430,2022-03-11,6.89,32,9064
1187,193,9119,199,115,2313,11939,2022-03-11,6.53,7,9065
1188,107,1056,75,140,1065,2443,2022-03-11,6.09,1,9066
1193,254,2041,235,325,2113,4968,2022-03-11,6.27,5,9071
1194,857,9667,1028,1335,6314,19201,2022-03-11,6.64,31,9072
1195,22185,560993,12220,20814,120355,736567,2022-03-11,7.26,7501,9073
1196,323,3973,290,353,3666,8605,2022-03-11,7.21,58,9074
1206,155,2963,98,84,3666,6966,2022-03-11,7.18,26,9082
1207,134,2279,83,78,2453,5027,2022-03-11,6.85,21,9083
1208,81,1844,47,87,1548,3607,2022-03-11,6.81,7,9084
1215,363,15934,322,257,4580,21456,2022-03-11,7.14,38,9090
1223,85,6662,57,84,1790,8678,2022-03-11,5.78,4,9098
1231,351,9623,415,418,2639,13446,2022-03-11,7.29,37,9105
1237,422,21417,318,220,5793,28170,2022-03-11,7.26,19,9111
1245,264,4524,109,88,3527,8512,2022-03-11,5.81,12,9118
1253,838,37531,576,411,5672,45028,2022-03-11,7.75,140,9126
1261,462,5934,832,1253,3545,12026,2022-03-11,7.02,57,9134
1270,345,8088,133,105,4910,13581,2022-03-11,6.37,17,9142
1283,79,2412,76,87,1162,3816,2022-03-11,6.06,5,9150
1292,8926,224895,5732,6497,80036,326086,2022-03-11,7.35,1610,9158
1301,387,8931,220,179,7517,17234,2022-03-11,7.55,123,9166
1314,103,702,83,134,955,1977,2022-03-11,6.29,7,9172
1316,545,10850,305,596,2278,14574,2022-03-11,7.12,121,9173
1324,298,4836,261,371,3986,9752,2022-03-11,6.06,19,9175
1325,243,1932,323,474,2945,5917,2022-03-11,6.56,22,9176
1327,727,7137,652,732,3643,12891,2022-03-11,7.4,64,9177
1343,152,5077,80,120,2135,7564,2022-03-11,5.46,4,9188
1349,449,5129,356,557,4002,10493,2022-03-11,5.95,12,9194
1350,604,6198,263,219,8071,15355,2022-03-11,6.54,25,9195
1351,735,6892,357,459,7466,15909,2022-03-11,5.94,69,9196
1355,41,384,27,39,446,937,2022-03-11,4.98,0,9198
1356,974,15221,758,484,9872,27309,2022-03-11,7.56,116,9199
1357,451,7299,258,235,4842,13085,2022-03-11,6.95,12,9200
1358,308,14360,188,139,4037,19032,2022-03-11,7.21,102,9201
1361,328,63663,166,298,3517,67972,2022-03-11,6.33,52,9202
1363,610,49809,246,288,3852,54805,2022-03-11,8.03,82,9204
1366,459,41407,216,227,3422,45731,2022-03-11,7.81,29,9207
1368,162,11989,129,119,2259,14658,2022-03-11,7.37,2,9209
1369,230,15687,130,139,2285,18471,2022-03-11,7.23,10,9210
1370,70,5586,42,76,1639,7413,2022-03-11,6.4,4,9211
1372,1972,10020,1743,1245,11771,26751,2022-03-11,7.54,166,9213
1373,125,2900,134,124,1836,5119,2022-03-11,7.25,5,9214
1375,608,7345,502,496,5228,14179,2022-03-11,7.71,140,9216
1378,121,3006,72,83,1496,4778,2022-03-11,5.92,4,9219
1379,1062,31032,585,269,18536,51484,2022-03-11,7.76,44,9220
1381,67,2038,54,89,1237,3485,2022-03-11,7.16,3,9222
1382,275,4803,186,215,3276,8755,2022-03-11,8.08,165,9223
1384,635,10022,467,418,7460,19002,2022-03-11,6.98,63,9224
1391,396,2326,269,244,3230,6465,2022-03-11,7.34,47,9225
1392,68,1439,37,74,704,2322,2022-03-11,7.29,8,9226
1393,64,1436,39,74,730,2343,2022-03-11,7.39,11,9227
1394,75,1272,49,66,786,2248,2022-03-11,7.33,9,9228
1395,76,1286,44,73,773,2252,2022-03-11,7.44,11,9229
1397,1375,12980,1348,1282,10356,27341,2022-03-11,7.13,217,9231
1398,300,6873,245,173,4676,12267,2022-03-11,6.84,15,9232
1399,167,5619,152,122,2356,8416,2022-03-11,6.95,6,9233
1409,116,2227,101,129,1369,3942,2022-03-11,6.54,7,9235
1410,264,7123,231,206,2381,10205,2022-03-11,7.27,23,9236
1412,6269,32642,4934,3035,42906,89786,2022-03-11,7.65,823,9238
1413,129,3971,103,93,2415,6711,2022-03-11,7.05,5,9239
1414,105,3485,95,87,2168,5940,2022-03-11,7.03,1,9240
1416,195,6035,142,122,3486,9980,2022-03-11,7.14,4,9242
1417,128,4545,102,95,2431,7301,2022-03-11,7.05,3,9243
1418,178,6022,120,115,3008,9443,2022-03-11,7.58,15,9244
1419,172,6637,127,124,2872,9932,2022-03-11,7.34,4,9245
1420,121,3485,99,87,2034,5826,2022-03-11,6.7,1,9246
1421,104,3626,84,83,2010,5907,2022-03-11,6.9,5,9247
1422,117,3626,95,103,2315,6256,2022-03-11,7.14,1,9248
1423,101,3259,93,88,2036,5577,2022-03-11,6.64,1,9249
1424,112,3474,101,96,2273,6056,2022-03-11,7.32,2,9250
1426,853,7387,672,430,9276,18618,2022-03-11,7.31,26,9252
1427,86,3022,87,94,1906,5195,2022-03-11,5.93,2,9253
1429,103,3075,90,88,2069,5425,2022-03-11,7.04,1,9255
1431,128,3727,96,101,2303,6355,2022-03-11,6.78,4,9257
1432,155,6205,113,111,2945,9529,2022-03-11,7.27,5,9258
1433,138,4809,113,112,2367,7539,2022-03-11,6.49,4,9259
1437,107,4177,103,100,2393,6880,2022-03-11,7.23,11,9263
1439,137,4441,116,104,2551,7349,2022-03-11,7.32,14,9265
1440,91,1637,54,77,960,2819,2022-03-11,5.67,6,9266
1441,408,9111,253,209,10000,19981,2022-03-11,7.3,268,9267
1443,186,2694,109,126,2538,5653,2022-03-11,6.31,7,9269
1445,591,7519,860,1525,2847,13342,2022-03-11,6.66,99,9271
1448,545,6378,673,950,2604,11150,2022-03-11,6.81,42,9272
1450,535,3327,522,505,6644,11533,2022-03-11,7.26,126,9273
1451,108,2585,50,96,1236,4075,2022-03-11,4.7,2,9274
1452,62,1326,22,46,672,2128,2022-03-11,5.91,1,9275
1453,4589,16983,3554,2460,33101,60687,2022-03-11,8.2,1423,9276
1454,3138,20682,2421,2410,38155,66806,2022-03-11,7.37,422,9277
1455,143,4091,106,153,1890,6383,2022-03-11,5.22,6,9278
1462,3803,45398,1718,680,47831,99430,2022-03-11,7.72,507,9284
1465,196,2916,152,215,1897,5376,2022-03-11,6.84,20,9285
1470,5535,23177,3664,2340,32053,66769,2022-03-11,7.92,823,9289
1471,1176,12669,664,414,7711,22634,2022-03-11,8.06,137,9290
1473,617,10122,377,314,7159,18589,2022-03-11,7.76,42,9292
1474,180,4647,124,97,2185,7233,2022-03-11,7.39,7,9293
1475,160,4312,121,92,2176,6861,2022-03-11,7.34,5,9294
1477,172,4037,120,93,2692,7114,2022-03-11,7.42,3,9296
1480,110,5125,82,74,1553,6944,2022-03-11,6.62,5,9299
1482,58036,282142,57934,45813,187413,631338,2022-03-11,8.03,13021,9301
1483,1398,5041,1058,704,14442,22643,2022-03-11,7.6,97,9302
1484,240,4311,110,150,3136,7947,2022-03-11,6.06,23,9303
1486,4535,26509,5422,3951,17950,58367,2022-03-11,8.05,1140,9305
1488,472,6854,329,243,7688,15586,2022-03-11,7.51,213,9307
1489,182,4713,131,81,1760,6867,2022-03-11,6.9,4,9308
1490,546,3380,593,609,5716,10844,2022-03-11,7.1,41,9309
1491,2580,5765,2368,1380,18168,30261,2022-03-11,7.8,365,9310
1494,194,5223,129,124,3345,9015,2022-03-11,6.06,24,9313
1496,212,7761,144,170,2850,11137,2022-03-11,5.67,6,9315
1497,69,2223,52,87,1456,3887,2022-03-11,6.59,8,9316
1500,442,4918,266,317,3628,9571,2022-03-11,6.15,11,9318
1501,97,4696,74,94,1692,6653,2022-03-11,6.75,11,9319
1505,430,39323,214,222,3536,43725,2022-03-11,7.8,20,9323
1506,608,43753,255,283,4339,49238,2022-03-11,8.05,37,9324
1508,411,2404,386,629,4187,8017,2022-03-11,6.19,14,9325
1509,782,15646,759,1156,4565,22908,2022-03-11,6.62,114,9326
1514,169,4349,146,135,1938,6737,2022-03-11,6.95,5,9327
1515,133,1735,78,74,1303,3323,2022-03-11,5.31,2,9328
1516,2530,12606,3017,4147,6096,28396,2022-03-11,7.05,219,9329
1517,536,5490,598,666,5608,12898,2022-03-11,6.79,35,9330
1519,11448,351685,6842,3300,71822,445097,2022-03-11,8.18,2663,9331
1520,2776,12488,1740,1296,16506,34806,2022-03-11,7.73,287,9332
1521,175,7987,152,106,2962,11382,2022-03-11,7.33,28,9333
1524,771,4077,812,632,10067,16359,2022-03-11,7.22,95,9334
1525,175,18607,172,181,3137,22272,2022-03-11,6.85,8,9335
1528,68,886,50,76,769,1849,2022-03-11,5.2,2,9338
1529,85,1313,67,104,1134,2703,2022-03-11,4.64,0,9339
1530,7970,158820,7343,6624,70858,251615,2022-03-11,7.97,4236,9340
1531,486,24509,389,208,7907,33499,2022-03-11,7.17,20,9341
1532,1681,30180,1379,2327,11212,46779,2022-03-11,6.67,214,9342
1534,567,6203,562,524,3668,11524,2022-03-11,7.18,63,9344
1535,162340,2747152,94958,101345,205405,3311200,2022-03-11,8.63,150943,9345
1537,110,728,89,158,852,1937,2022-03-11,6.27,3,9347
1538,1856,19216,1945,2350,13303,38670,2022-03-11,7.17,114,9348
1539,62,1976,45,86,802,2971,2022-03-11,6.89,2,9349
1541,705,4096,459,531,5034,10825,2022-03-11,6.69,18,9351
1542,446,2911,426,626,4582,8991,2022-03-11,6.12,25,9352
1543,1883,19889,1275,1344,13058,37449,2022-03-11,7.11,146,9353
1544,119,2190,89,104,1277,3779,2022-03-11,6.63,6,9354
1546,4539,44848,4047,5126,27315,85875,2022-03-11,6.97,261,9355
1547,30,214,31,140,260,675,2022-03-11,6.03,0,9356
1549,103,1766,89,109,2048,4115,2022-03-11,6.8,3,9358
1550,417,3914,436,662,2526,7955,2022-03-11,6.79,30,9359
1553,242,3023,208,153,2931,6557,2022-03-11,6.85,8,9361
1554,730,11969,895,974,8409,22977,2022-03-11,7.05,41,9362
1556,734,8299,467,439,9130,19069,2022-03-11,7.09,44,9364
1559,14537,183640,8766,7518,57951,272412,2022-03-11,8.07,3281,9366
1560,173,1740,93,112,1412,3530,2022-03-11,5.0,5,9367
1561,357,3438,345,655,3123,7918,2022-03-11,6.15,9,9368
1562,6802,95375,5730,7262,32128,147297,2022-03-11,7.73,2147,9369
1565,3928,101278,3943,6799,8953,124901,2022-03-11,7.23,430,9372
1566,1693,60391,960,407,28541,91992,2022-03-11,8.12,224,9373
1567,877,8913,986,804,6097,17677,2022-03-11,7.54,175,9374
1569,2616,32304,1863,2452,19934,59169,2022-03-11,7.05,167,9376
1570,1485,19923,1255,1968,9531,34162,2022-03-11,6.38,37,9377
1572,285,3308,429,612,2306,6940,2022-03-11,6.56,12,9379
32797,12,37,3,56,55,163,2022-03-11,8.7,0,4537
1575,90250,1459716,52008,38049,298263,1938286,2022-03-11,8.7,96987,9382
1576,2461,12920,2716,2313,16543,36953,2022-03-11,7.11,126,9383
1577,887,8933,471,297,10333,20921,2022-03-11,7.46,68,9384
1578,561,4875,353,482,4507,10778,2022-03-11,6.85,27,9385
1579,3492,61974,2912,3956,19993,92327,2022-03-11,7.44,850,9386
1581,1174,17795,903,1369,8863,30104,2022-03-11,6.59,30,9388
1582,100,1535,56,83,942,2716,2022-03-11,6.24,2,9389
1583,961,7466,816,1426,8090,18759,2022-03-11,6.23,20,9390
1584,68,1575,62,54,917,2676,2022-03-11,6.9,3,9391
1585,96,1023,40,101,896,2156,2022-03-11,3.67,2,9392
1588,1700,12666,1428,1631,7886,25311,2022-03-11,7.05,43,9395
1589,4362,27674,4552,4987,38591,80166,2022-03-11,7.35,423,9396
1590,173,1059,142,234,1106,2714,2022-03-11,7.3,38,9397
1591,549,5933,630,795,5141,13048,2022-03-11,6.26,14,9398
1592,1032,8334,890,1132,11720,23108,2022-03-11,7.02,57,9399
1593,270,23125,238,189,5431,29253,2022-03-11,6.7,21,9400
1594,6864,81878,5709,4226,49981,148658,2022-03-11,7.9,658,9401
1596,267,2852,191,368,2642,6320,2022-03-11,5.26,8,9402
1597,252,2208,341,509,1765,5075,2022-03-11,6.71,10,9403
1598,213,4047,162,196,3057,7675,2022-03-11,6.34,12,9404
1599,205,2781,180,226,1883,5275,2022-03-11,6.69,9,9405
1601,2064,11077,2120,2448,24149,41858,2022-03-11,7.07,134,9407
1602,807,11077,579,703,8011,21177,2022-03-11,7.05,70,9408
1603,350,3389,357,449,2697,7242,2022-03-11,6.81,15,9409
1604,49917,255865,39033,38772,128071,511658,2022-03-11,8.15,15222,9410
1607,1260,13758,1330,1968,9743,28059,2022-03-11,6.36,47,9412
1608,481,3440,324,404,4158,8807,2022-03-11,7.44,34,9413
1613,44,1865,22,57,589,2577,2022-03-11,5.47,2,9416
1617,132,1219,99,108,1908,3466,2022-03-11,6.43,6,9418
1618,249,1218,247,245,2754,4713,2022-03-11,6.57,7,9419
1619,374,13605,266,185,4597,19027,2022-03-11,7.08,21,9420
1620,107,977,70,110,925,2189,2022-03-11,5.7,5,8879
1621,47,1113,48,52,691,1951,2022-03-11,4.8,0,9421
1622,125,4600,77,130,2364,7296,2022-03-11,5.59,5,9422
1623,218,1838,178,273,1749,4256,2022-03-11,5.77,3,9423
1624,95,1857,83,73,1520,3628,2022-03-11,6.34,2,9424
1625,78,1575,56,66,938,2713,2022-03-11,5.86,2,9425
1628,422,4144,307,459,3821,9153,2022-03-11,6.01,8,9428
1629,1160,6630,835,1082,11746,21453,2022-03-11,6.62,86,9429
1630,82,2234,77,99,1262,3754,2022-03-11,6.06,4,9430
1637,231,8630,115,174,4058,13208,2022-03-11,6.86,96,9432
1638,140,2388,165,217,1151,4061,2022-03-11,6.8,8,9433
1640,366,13767,293,773,4385,19584,2022-03-11,5.45,31,9434
1641,94,1318,45,49,935,2441,2022-03-11,4.54,1,9435
1643,63,906,32,63,624,1688,2022-03-11,5.78,2,9437
1644,76,981,43,62,812,1974,2022-03-11,5.83,3,9438
1645,193,2907,136,139,2308,5683,2022-03-11,6.69,4,9439
1647,352,4748,150,312,4374,9936,2022-03-11,4.77,30,9440
1650,1255,7632,1046,708,13614,24255,2022-03-11,7.58,172,9442
1651,274,3360,205,193,3446,7478,2022-03-11,7.44,23,9443
1655,353,3904,468,530,3000,8255,2022-03-11,7.3,70,9446
1656,21,172,14,81,138,426,2022-03-11,5.47,0,9447
1657,443,6280,459,707,6502,14391,2022-03-11,4.13,78,9448
1658,220,3313,108,74,2992,6707,2022-03-11,6.47,7,9449
1660,271,1675,230,281,2855,5312,2022-03-11,6.64,4,9451
1661,847,4186,935,906,7758,14632,2022-03-11,6.42,37,9452
1662,83,1299,50,55,1329,2816,2022-03-11,6.22,1,9453
1663,336,3952,354,357,4147,9146,2022-03-11,7.42,39,9454
1664,166,1312,122,227,1356,3183,2022-03-11,5.71,2,9455
1665,79,1175,65,113,923,2355,2022-03-11,5.83,5,9456
1667,94,707,75,166,903,1945,2022-03-11,5.11,1,9458
1668,640,38196,650,1298,3147,43931,2022-03-11,6.93,196,9459
1670,111,8166,93,154,1457,9981,2022-03-11,6.58,8,9461
1672,82,1614,91,212,678,2677,2022-03-11,6.55,3,9463
1673,55,963,50,126,523,1717,2022-03-11,6.41,1,9464
1674,500,22553,394,629,2524,26600,2022-03-11,7.26,68,9465
1675,298,6128,286,577,1136,8425,2022-03-11,6.78,28,9466
1676,196,2256,180,236,2077,4945,2022-03-11,6.55,9,9467
1678,1550,13418,2533,2408,9909,29818,2022-03-11,7.26,164,9469
1679,200,7729,172,148,2064,10313,2022-03-11,6.21,6,9470
1681,787,24663,439,292,13861,40042,2022-03-11,7.44,162,9471
1683,379,2659,561,717,2324,6640,2022-03-11,7.07,38,9473
1684,171,1815,154,230,1248,3618,2022-03-11,7.28,17,9474
1685,517,15351,631,2464,2446,21409,2022-03-11,5.83,31,9475
1686,2189,226003,945,606,17298,247041,2022-03-11,7.43,539,9476
1688,814,10677,844,1255,7790,21380,2022-03-11,7.01,88,9477
1689,14747,619220,7357,5642,179696,826662,2022-03-11,7.62,10030,9478
1690,7906,54701,6746,6155,94996,170504,2022-03-11,7.63,1111,9479
1691,18284,289470,13367,17573,79560,418254,2022-03-11,7.2,1894,9480
45547,0,0,0,0,0,0,2022-03-11,6.49,0,19198
45549,0,0,0,0,0,0,2022-03-11,6.49,0,19200
45551,0,0,0,0,0,0,2022-03-11,6.49,0,19202
47582,0,0,0,0,0,0,2022-03-11,6.49,0,20973
1694,1080,7180,1124,1776,10297,21457,2022-03-11,6.49,27,9483
1696,1779,35481,1579,1622,13708,54169,2022-03-11,7.0,158,9485
1699,8314,86194,8592,8680,58681,170461,2022-03-11,7.61,1132,9487
1701,177,2372,94,111,1811,4565,2022-03-11,6.26,10,9488
1703,581,2890,368,587,6204,10630,2022-03-11,6.69,21,9489
1704,514,3441,376,499,4791,9621,2022-03-11,6.41,15,9490
1705,73,711,70,154,732,1740,2022-03-11,5.03,1,9491
1706,408,4066,448,431,3987,9340,2022-03-11,6.54,15,9492
1707,619,9978,669,1166,2514,14946,2022-03-11,6.9,50,9493
1709,402,65041,216,198,3829,69686,2022-03-11,7.05,25,9495
1710,1554,23813,1818,2598,5108,34891,2022-03-11,6.92,117,9496
1711,127,1063,102,176,1150,2618,2022-03-11,5.95,3,9497
1712,69,449,63,103,557,1241,2022-03-11,5.6,1,9498
1713,97,613,69,101,860,1740,2022-03-11,6.17,1,9499
1718,167,4421,138,133,2468,7327,2022-03-11,6.57,12,9500
1719,714,47294,536,394,8856,57794,2022-03-11,7.72,199,9501
1720,190,3671,164,126,2351,6502,2022-03-11,6.86,9,9502
1721,793,9123,760,1076,7307,19059,2022-03-11,6.76,30,9503
1723,1923,114129,1660,2315,40017,160044,2022-03-11,7.23,375,9505
1725,218,2577,122,192,2013,5122,2022-03-11,5.28,2,9507
1727,1724,13240,1249,1628,12437,30278,2022-03-11,6.82,41,9509
1731,1856,28586,1483,1205,16619,49749,2022-03-11,7.16,134,9512
1732,307,12090,236,167,4193,16993,2022-03-11,7.1,14,9513
1733,87,2543,45,63,1127,3865,2022-03-11,6.43,2,9514
1735,407063,1262924,125780,139688,110399,2045854,2022-03-11,8.23,93730,9516
1736,119,3146,121,118,1070,4574,2022-03-11,7.13,21,9517
1737,122,540,84,125,1102,1973,2022-03-11,6.37,6,9518
1740,86,291,65,134,819,1395,2022-03-11,5.36,2,9521
1741,50,1018,40,56,509,1673,2022-03-11,5.49,0,9522
1742,149,933,102,142,1503,2829,2022-03-11,6.52,8,9523
1744,1042,9045,1574,1735,3768,17164,2022-03-11,7.29,110,9525
1746,295,6577,367,815,2382,10436,2022-03-11,6.38,14,9527
1747,822,8804,643,575,11356,22200,2022-03-11,7.41,62,9528
1748,91,1263,100,105,930,2489,2022-03-11,6.55,6,9529
1749,213,11232,158,185,2245,14033,2022-03-11,6.65,1,9530
1750,298,9989,169,191,2565,13212,2022-03-11,6.6,5,9531
1751,56,5318,54,78,1036,6542,2022-03-11,5.26,8,9532
1752,62,2157,42,72,857,3190,2022-03-11,6.59,2,9533
1753,29,1341,24,51,562,2007,2022-03-11,6.26,1,9534
1754,72,2153,40,78,635,2978,2022-03-11,6.48,2,9535
1755,55,1831,39,68,672,2665,2022-03-11,6.64,1,9536
1756,50,1873,43,66,649,2681,2022-03-11,6.58,2,9537
1757,46,2571,30,67,577,3291,2022-03-11,6.56,2,9538
1758,43,1147,36,59,624,1909,2022-03-11,6.45,1,9539
1759,103,2150,45,54,1288,3640,2022-03-11,5.59,3,9540
1760,416,8609,189,172,6242,15628,2022-03-11,6.78,45,9541
1761,244,5171,128,97,3301,8941,2022-03-11,6.58,8,9542
1762,950,7701,696,843,9513,19703,2022-03-11,6.9,80,9543
1766,93,1351,44,56,1102,2646,2022-03-11,5.68,2,9546
1767,159,2211,70,79,2284,4803,2022-03-11,5.64,4,9547
1768,80,1651,64,77,813,2685,2022-03-11,6.74,7,9548
1771,104,918,60,95,828,2005,2022-03-11,6.54,0,9550
1772,76,906,42,101,782,1907,2022-03-11,5.22,0,9551
1774,49,1482,51,48,781,2411,2022-03-11,6.95,1,9553
1775,340,1544,228,353,3880,6345,2022-03-11,5.58,10,9554
1777,150,2763,72,64,2262,5311,2022-03-11,6.18,7,9556
1778,192,1663,153,201,1492,3701,2022-03-11,7.16,26,9557
1786,114,1079,62,93,902,2250,2022-03-11,5.68,1,9558
1789,59,2333,75,74,1056,3597,2022-03-11,6.35,1,9559
1790,51,1100,45,50,519,1765,2022-03-11,5.81,1,9560
1795,106,2365,67,48,1384,3970,2022-03-11,6.75,3,9564
1797,149,5879,99,91,2785,9003,2022-03-11,6.91,7,9566
1798,80,4257,62,53,1068,5520,2022-03-11,6.93,2,9567
